epoch,loss,auc,ap,mrr,hits@10,hits@50,hits@100
10,0.6447993516921997,0.8353597709956773,0.8446384703488813,0.18024903632053663,0.03802281368821293,0.18250950570342206,0.3574144486692015
20,0.5432974696159363,0.8549639289276988,0.8519954165260817,0.2324710666634626,0.03802281368821293,0.18631178707224336,0.33840304182509506
30,0.4859079420566559,0.8930734866775578,0.8887991801027253,0.2771849487910915,0.03802281368821293,0.19011406844106463,0.35361216730038025
40,0.4697112739086151,0.902817736269138,0.9048667332322435,0.3224602916659853,0.03802281368821293,0.19011406844106463,0.3612167300380228
50,0.459861159324646,0.9093379982362042,0.9143431780680433,0.3379475047243342,0.03802281368821293,0.19011406844106463,0.3688212927756654
60,0.4466996490955353,0.9117090025878645,0.9136805052160342,0.2910025457822864,0.03802281368821293,0.18631178707224336,0.3650190114068441
70,0.4415466785430908,0.9118680333675491,0.9144191162766774,0.28494558830171224,0.03802281368821293,0.18631178707224336,0.3650190114068441
80,0.4280211627483368,0.9162052364498547,0.920673659024698,0.31185589467049096,0.03802281368821293,0.18631178707224336,0.3726235741444867
90,0.42313313484191895,0.9166100420708698,0.9206438671300259,0.33353988001651264,0.03802281368821293,0.19011406844106463,0.3688212927756654
100,0.4217551350593567,0.910624701817288,0.918627605849728,0.3508484535374328,0.03802281368821293,0.19011406844106463,0.3726235741444867
110,0.4163292646408081,0.9128222180456562,0.9234831594971805,0.3641359422571478,0.03802281368821293,0.19011406844106463,0.3726235741444867
120,0.42042276263237,0.9112174529052033,0.9226254785556491,0.3819423340491606,0.03802281368821293,0.19011406844106463,0.3726235741444867
130,0.4183436334133148,0.9068224204484667,0.9201397550981772,0.3881106976366797,0.03802281368821293,0.19011406844106463,0.3726235741444867
140,0.41282588243484497,0.9048995937486446,0.9183096483202142,0.36769271055946884,0.03802281368821293,0.19011406844106463,0.3726235741444867
150,0.4125909209251404,0.9028032789255303,0.9148153280487915,0.3385643672631055,0.03802281368821293,0.19011406844106463,0.3688212927756654
160,0.4112006425857544,0.9055501742109904,0.9176234802761992,0.33864802535762356,0.03802281368821293,0.19011406844106463,0.3688212927756654
170,0.4057750105857849,0.9055068021801675,0.9194253191156387,0.34800976468657224,0.03802281368821293,0.19011406844106463,0.3688212927756654
180,0.410616934299469,0.9090054793332274,0.9205166740474608,0.3372867403454847,0.03802281368821293,0.19011406844106463,0.3650190114068441
190,0.4065525531768799,0.9066200176379593,0.9216186177290625,0.3828000819896607,0.03802281368821293,0.19011406844106463,0.3726235741444867
200,0.410980224609375,0.9077476904393587,0.9238109702986649,0.40491749552445955,0.03802281368821293,0.19011406844106463,0.3726235741444867
210,0.41035881638526917,0.9092367968309504,0.925088777561522,0.3900538405397427,0.03802281368821293,0.19011406844106463,0.3726235741444867
220,0.41406717896461487,0.9099596640113344,0.9258872929604876,0.42874413212767837,0.03802281368821293,0.19011406844106463,0.3726235741444867
230,0.4116877615451813,0.9068079631048591,0.9241277561378344,0.4458703411870972,0.03802281368821293,0.19011406844106463,0.376425855513308
240,0.40783756971359253,0.9038008356344606,0.9220998466261796,0.4261067889954053,0.03802281368821293,0.19011406844106463,0.3688212927756654
250,0.4092308580875397,0.9040755251630066,0.9209103033253317,0.39492572773206597,0.03802281368821293,0.19011406844106463,0.3726235741444867
260,0.4097146987915039,0.9109427633766572,0.9248295993026728,0.3961020142894297,0.03802281368821293,0.19011406844106463,0.376425855513308
270,0.406157910823822,0.9124752417990719,0.9268301064758682,0.386029765490584,0.03802281368821293,0.19011406844106463,0.376425855513308
280,0.39980417490005493,0.9129523341381254,0.9271655152865725,0.3709164187043363,0.03802281368821293,0.18631178707224336,0.376425855513308
290,0.40157970786094666,0.9104367563503881,0.9268149992878222,0.3993365907434575,0.03802281368821293,0.19011406844106463,0.376425855513308
300,0.4089774191379547,0.9069380791973284,0.9249189259624563,0.396984340617468,0.03802281368821293,0.19011406844106463,0.3726235741444867
