epoch,loss,auc,ap,mrr,hits@10,hits@50,hits@100
10,0.9639912247657776,0.8320056672786942,0.8268246654619091,0.14838117308457924,0.03802281368821293,0.17490494296577946,0.33840304182509506
20,0.7083473801612854,0.8688863508219,0.8571446396043211,0.16291088228741282,0.03802281368821293,0.18250950570342206,0.33840304182509506
30,0.5843476057052612,0.8887218262516444,0.8763517923780603,0.1688166017860089,0.03802281368821293,0.17490494296577946,0.34600760456273766
40,0.5700132250785828,0.890630195607859,0.8858230543841592,0.20603855382123037,0.03802281368821293,0.18631178707224336,0.34600760456273766
50,0.5320349335670471,0.8876808975118913,0.8902654819359531,0.20764652927079752,0.03802281368821293,0.18631178707224336,0.3612167300380228
60,0.5235509872436523,0.8947939105668724,0.898089416721497,0.23254780664630298,0.03802281368821293,0.18250950570342206,0.3650190114068441
70,0.5251829028129578,0.898032355534994,0.9069023330420134,0.2938358361705135,0.03802281368821293,0.18631178707224336,0.3650190114068441
80,0.508549690246582,0.8970203414824559,0.9047919634497461,0.3066238351998648,0.03802281368821293,0.19011406844106463,0.3612167300380228
90,0.5006809830665588,0.8999118102039931,0.9018482516634925,0.291463737600857,0.03802281368821293,0.19011406844106463,0.34980988593155893
100,0.5083678364753723,0.9024273879917303,0.9070830965957878,0.292876173751908,0.03802281368821293,0.19011406844106463,0.3574144486692015
110,0.49036911129951477,0.896875768046379,0.9074175653333185,0.3016226797313361,0.03802281368821293,0.19011406844106463,0.3650190114068441
120,0.5002251267433167,0.8950830574390263,0.905166834135483,0.28918305290464225,0.03802281368821293,0.19011406844106463,0.3650190114068441
130,0.499754399061203,0.8963263889892871,0.9046424583002699,0.26455260361911065,0.03802281368821293,0.18631178707224336,0.3650190114068441
140,0.5065396428108215,0.9046393615637063,0.90952435847682,0.26005684794255135,0.03802281368821293,0.18631178707224336,0.3688212927756654
150,0.49745631217956543,0.9007503361332388,0.9093401571390632,0.321675410997373,0.03802281368821293,0.19011406844106463,0.3650190114068441
160,0.49567630887031555,0.9060417238936519,0.915208344442462,0.3268110607992804,0.03802281368821293,0.19011406844106463,0.3688212927756654
170,0.49970826506614685,0.9063164134221978,0.9140000108853368,0.33024696491194827,0.03802281368821293,0.19011406844106463,0.3650190114068441
180,0.5023099780082703,0.9051453685899753,0.9136125896540498,0.37676895717425263,0.03802281368821293,0.19011406844106463,0.3650190114068441
190,0.4913652241230011,0.9031936272029377,0.9137433358543667,0.3430596517124225,0.03802281368821293,0.19011406844106463,0.3688212927756654
200,0.49605756998062134,0.90474056296896,0.9157308224702478,0.36446486792209054,0.03802281368821293,0.19011406844106463,0.3650190114068441
210,0.48352622985839844,0.9094391996414579,0.9187883196551325,0.3566733245037633,0.03802281368821293,0.19011406844106463,0.3688212927756654
220,0.4844323992729187,0.9078488918446126,0.916627043821837,0.320525425455736,0.03802281368821293,0.19011406844106463,0.3688212927756654
230,0.48590198159217834,0.903916494383322,0.9131103985730806,0.3033845265574257,0.03802281368821293,0.18631178707224336,0.3650190114068441
240,0.48479828238487244,0.9036418048547761,0.9103128635864846,0.26388325749446484,0.03802281368821293,0.18631178707224336,0.3574144486692015
250,0.49307844042778015,0.9040176957885759,0.9093199514590881,0.2583349374962641,0.03802281368821293,0.18250950570342206,0.3612167300380228
260,0.48708242177963257,0.9041767265682603,0.9079893714179454,0.25763602546873343,0.03802281368821293,0.18631178707224336,0.3650190114068441
270,0.47351476550102234,0.901299715190331,0.9070399093106285,0.2889806512011365,0.03802281368821293,0.19011406844106463,0.3612167300380228
280,0.48430758714675903,0.9057959490523211,0.9091086131454742,0.2503881901454737,0.03802281368821293,0.18631178707224336,0.3612167300380228
290,0.48396924138069153,0.9053622287440906,0.9104450197239596,0.2810010391968363,0.03802281368821293,0.18631178707224336,0.3650190114068441
300,0.4795689880847931,0.9066055602943516,0.9146714038168139,0.31777863898006464,0.03802281368821293,0.19011406844106463,0.3612167300380228
