epoch,loss,auc,ap,mrr,hits@10,hits@50,hits@100
10,0.6579098701477051,0.8452354430854044,0.8378404204149064,0.04543193833563414,0.004512635379061372,0.02211191335740072,0.043772563176895304
20,0.5504916906356812,0.8622383648946291,0.8738474376872598,0.1272355150830992,0.004512635379061372,0.02256317689530686,0.04512635379061372
30,0.5171185731887817,0.9109601649962856,0.9152510546151552,0.11199062895004278,0.004512635379061372,0.02256317689530686,0.044675090252707585
40,0.4903739392757416,0.9157135014140678,0.922228347260776,0.13943646650621286,0.004512635379061372,0.02256317689530686,0.04512635379061372
50,0.4801890254020691,0.9263269510224296,0.9297547531432344,0.164498028073876,0.004512635379061372,0.02256317689530686,0.04512635379061372
60,0.46621379256248474,0.9404767916954476,0.9431315443694098,0.17947242726503893,0.004512635379061372,0.02256317689530686,0.04512635379061372
70,0.4603739082813263,0.9442683421522502,0.9461895381711185,0.19140908730893555,0.004512635379061372,0.02256317689530686,0.04512635379061372
80,0.4559169113636017,0.9488986807465235,0.950567596894788,0.2248940665814815,0.004512635379061372,0.02256317689530686,0.04512635379061372
90,0.4529188871383667,0.9525790444290947,0.9543349307089448,0.25343926837710706,0.004512635379061372,0.02256317689530686,0.04512635379061372
100,0.4475204646587372,0.9559830702863323,0.9577347933368066,0.24156578996681713,0.004512635379061372,0.02256317689530686,0.04512635379061372
110,0.4446166455745697,0.9582650464622243,0.9598340525309962,0.2339761317309089,0.004512635379061372,0.02256317689530686,0.04512635379061372
120,0.44119852781295776,0.9603720969255432,0.9616082240509225,0.22465443915798072,0.004512635379061372,0.02256317689530686,0.04512635379061372
130,0.4385283887386322,0.9619706613535951,0.9635616574805601,0.2214534055065104,0.004512635379061372,0.02256317689530686,0.04512635379061372
140,0.43678849935531616,0.9632169306911337,0.9645491239770916,0.22164733051825397,0.004512635379061372,0.02256317689530686,0.04512635379061372
150,0.43329253792762756,0.9650714690664546,0.9662297049200982,0.2275427827015117,0.004512635379061372,0.02256317689530686,0.04512635379061372
160,0.43115973472595215,0.9657675064186944,0.9669848383277935,0.22775771564358022,0.004512635379061372,0.02256317689530686,0.04512635379061372
170,0.4279772937297821,0.9660725573120985,0.9673420954443407,0.21483080398099783,0.004512635379061372,0.02256317689530686,0.04512635379061372
180,0.4267525374889374,0.9663627425745157,0.9677956673581587,0.21290018911468525,0.004512635379061372,0.02256317689530686,0.04512635379061372
190,0.42984694242477417,0.9670145903113556,0.9686969541621586,0.2088060676842039,0.004512635379061372,0.02256317689530686,0.04512635379061372
200,0.42819446325302124,0.9683539225716482,0.9701367622659403,0.21715142646959457,0.004512635379061372,0.02256317689530686,0.04512635379061372
210,0.4226878583431244,0.9688844015952247,0.9706517837906516,0.2340193355094538,0.004512635379061372,0.02256317689530686,0.04512635379061372
220,0.42308831214904785,0.9696203521484708,0.97133773191821,0.22411584586489913,0.004512635379061372,0.02256317689530686,0.04512635379061372
230,0.42371439933776855,0.9705014971523154,0.9721791981922645,0.2325790221302664,0.004512635379061372,0.02256317689530686,0.04512635379061372
240,0.4190356433391571,0.970667870036101,0.9723248529217076,0.2335427654898471,0.004512635379061372,0.02256317689530686,0.04512635379061372
250,0.41852620244026184,0.9711983490596775,0.972827242785996,0.22591169652853343,0.004512635379061372,0.02256317689530686,0.04512635379061372
260,0.418645441532135,0.9718986628263108,0.9736345845680966,0.23811861482028818,0.004512635379061372,0.02256317689530686,0.04512635379061372
270,0.4167352616786957,0.9719410196926845,0.9737031506305344,0.2472914590125876,0.004512635379061372,0.02256317689530686,0.04512635379061372
280,0.41574639081954956,0.9720336753378774,0.9739435378784825,0.2477454064114629,0.004512635379061372,0.02256317689530686,0.04512635379061372
290,0.41806361079216003,0.9716893221598095,0.9737674281327054,0.24787166416069467,0.004512635379061372,0.02256317689530686,0.04512635379061372
300,0.41507524251937866,0.9720428390830064,0.9739150270334869,0.24920741369310817,0.004512635379061372,0.02256317689530686,0.04512635379061372
