epoch,loss,auc,ap,mrr,hits@10,hits@50,hits@100,phase,phase_name,phase_changed,competence,easy_ratio,medium_ratio,hard_ratio
10,0.6184195876121521,0.81454119620061,0.829238835532029,0.1558510530770244,0.034220532319391636,0.18250950570342206,0.34980988593155893,0,hard_focus,False,0.81454119620061,0.0,0.3,0.7
20,0.4315200448036194,0.8976853792884095,0.885499705256005,0.16447302716844728,0.03802281368821293,0.18250950570342206,0.3574144486692015,0,hard_focus,False,0.8561132877445098,0.0,0.3,0.7
30,0.3331608474254608,0.8892856626523442,0.8763355497166094,0.15595707821020918,0.034220532319391636,0.18250950570342206,0.34220532319391633,0,hard_focus,False,0.8671707460471213,0.0,0.3,0.7
40,0.2510353624820709,0.8718356489178678,0.8607846828025766,0.1632466237131755,0.03802281368821293,0.17110266159695817,0.35361216730038025,0,hard_focus,False,0.868336971764808,0.0,0.3,0.7
50,0.19235318899154663,0.8600384565339965,0.8474006196142465,0.1449264560663443,0.03802281368821293,0.17490494296577946,0.33840304182509506,0,hard_focus,False,0.8666772687186457,0.0,0.3,0.7
60,0.14858275651931763,0.8568578409403056,0.8427813253314568,0.1352680810718655,0.03802281368821293,0.17490494296577946,0.33460076045627374,0,hard_focus,False,0.8751405976665847,0.0,0.3,0.7
70,0.11442875862121582,0.8521592042678078,0.8385258908192825,0.1327693460320974,0.03802281368821293,0.17870722433460076,0.3269961977186312,0,hard_focus,False,0.8660353626624643,0.0,0.3,0.7
80,0.09274427592754364,0.8528965287917998,0.8382843480586758,0.12567988911200337,0.03802281368821293,0.17490494296577946,0.33079847908745247,0,hard_focus,False,0.8587575358903555,0.0,0.3,0.7
90,0.07184316217899323,0.8528676141045844,0.8402814874035779,0.13116967830893378,0.03802281368821293,0.17490494296577946,0.33840304182509506,0,hard_focus,False,0.8549639289276989,0.0,0.3,0.7
100,0.0537741519510746,0.8499327733522243,0.8374764813450951,0.13177996658543262,0.03802281368821293,0.17110266159695817,0.33460076045627374,0,hard_focus,False,0.8529427922913444,0.0,0.3,0.7
