epoch,loss,auc,ap,mrr,hits@10,hits@50,hits@100
10,0.6447993516921997,0.8353597709956773,0.8446384703488813,0.18024903632053663,0.03802281368821293,0.18250950570342206,0.3574144486692015
20,0.543297529220581,0.8549639289276988,0.8519954165260817,0.2324710666634626,0.03802281368821293,0.18631178707224336,0.33840304182509506
30,0.4859079420566559,0.8930734866775578,0.8887991801027253,0.2771849487910915,0.03802281368821293,0.19011406844106463,0.35361216730038025
40,0.4697112739086151,0.902817736269138,0.9048667332322435,0.3224602916659853,0.03802281368821293,0.19011406844106463,0.3612167300380228
50,0.459861159324646,0.9093379982362042,0.9143431780680433,0.3379475047243342,0.03802281368821293,0.19011406844106463,0.3688212927756654
60,0.44669821858406067,0.9117234599314722,0.9136880320706914,0.2910028874068478,0.03802281368821293,0.18631178707224336,0.3650190114068441
70,0.4415445923805237,0.9119114053983721,0.9144398960662019,0.28494667679675095,0.03802281368821293,0.18631178707224336,0.3650190114068441
80,0.42802369594573975,0.9163064378551086,0.9207485128943257,0.3117042749822484,0.03802281368821293,0.18631178707224336,0.3726235741444867
90,0.4231257438659668,0.9166678714453007,0.9206867586141667,0.33363713580249454,0.03802281368821293,0.19011406844106463,0.3688212927756654
100,0.4217418134212494,0.9106536165045035,0.9186820448401332,0.35112362521970114,0.03802281368821293,0.19011406844106463,0.3726235741444867
110,0.4163716733455658,0.9128800474200869,0.9234776703409138,0.36416788331246064,0.03802281368821293,0.19011406844106463,0.3726235741444867
120,0.4204653203487396,0.911231910248811,0.9226073456295447,0.3822274705939697,0.03802281368821293,0.19011406844106463,0.3726235741444867
130,0.4183060824871063,0.9070537379461897,0.9202015581133789,0.38636992539026976,0.03802281368821293,0.19011406844106463,0.3726235741444867
140,0.41302257776260376,0.9050007951538983,0.9183816670059017,0.36992757598348475,0.03802281368821293,0.19011406844106463,0.3726235741444867
150,0.4125540852546692,0.902398473304515,0.9144705477964129,0.3383268561149066,0.03802281368821293,0.19011406844106463,0.3688212927756654
160,0.4112169146537781,0.9047694776561755,0.9171256873992448,0.3390534887733599,0.03802281368821293,0.19011406844106463,0.3688212927756654
170,0.4057111144065857,0.9037285489164222,0.9183241178510018,0.35329841371579296,0.03802281368821293,0.19011406844106463,0.3688212927756654
180,0.4105304181575775,0.9083404415272738,0.9202187036137776,0.33615171591640486,0.03802281368821293,0.19011406844106463,0.3650190114068441
190,0.40641531348228455,0.9067501337304282,0.9217801270775251,0.3845495179389586,0.03802281368821293,0.19011406844106463,0.3726235741444867
200,0.411023885011673,0.9077766051265741,0.9234865312561652,0.4046627674361805,0.03802281368821293,0.19011406844106463,0.3726235741444867
210,0.4105559289455414,0.9104512136939958,0.9253743636356414,0.38282052235078073,0.03802281368821293,0.19011406844106463,0.3726235741444867
220,0.4146699011325836,0.910219896196273,0.9257841989859364,0.4230913077920124,0.03802281368821293,0.19011406844106463,0.3726235741444867
230,0.4117884933948517,0.9090488513640502,0.9248894864014037,0.4440470556304571,0.03802281368821293,0.19011406844106463,0.376425855513308
240,0.40744516253471375,0.9054923448365597,0.9228749282017946,0.4254474691379787,0.03802281368821293,0.19011406844106463,0.3688212927756654
250,0.4099733233451843,0.9057092049906751,0.9212352111898385,0.3923991145079302,0.03802281368821293,0.19011406844106463,0.3726235741444867
260,0.4101702570915222,0.9124752417990718,0.9250639984506089,0.39173052065992975,0.03802281368821293,0.19011406844106463,0.376425855513308
270,0.4061969816684723,0.9148173314635168,0.9279315356121918,0.382540235221313,0.03802281368821293,0.19011406844106463,0.376425855513308
280,0.39988356828689575,0.915178765053709,0.928394899919114,0.3722566779544705,0.03802281368821293,0.18631178707224336,0.376425855513308
290,0.40178948640823364,0.9123884977374257,0.9279496947396351,0.40573344875364264,0.03802281368821293,0.19011406844106463,0.376425855513308
300,0.40965479612350464,0.9084561002761353,0.9255471905320309,0.3974922393044001,0.03802281368821293,0.19011406844106463,0.3726235741444867
