epoch,loss,auc,ap,mrr,hits@10,hits@50,hits@100,phase,phase_name,phase_changed,competence,easy_ratio,medium_ratio,hard_ratio
10,0.6062940359115601,0.8192832049039309,0.8233725445248535,0.16119214840854626,0.03802281368821293,0.17870722433460076,0.34220532319391633,1,easy_medium,True,0.0,1.0,0.0,0.0
20,0.4503527283668518,0.8453642527721957,0.8503178727046121,0.2529172306242003,0.03802281368821293,0.19011406844106463,0.34220532319391633,1,easy_medium,False,0.8453642527721957,0.7,0.3,0.0
30,0.35294124484062195,0.8762306813746041,0.8829183800521695,0.25152131112406945,0.03802281368821293,0.18631178707224336,0.3612167300380228,2,bridge,True,0.0,0.7,0.3,0.0
40,0.30910181999206543,0.8679032514565774,0.8774120310785908,0.27889954468697464,0.03802281368821293,0.19011406844106463,0.3574144486692015,2,bridge,False,0.8679032514565774,0.5,0.4,0.1
50,0.2672261595726013,0.8645491477395943,0.876591516149981,0.26877693713761786,0.03802281368821293,0.18631178707224336,0.35361216730038025,2,bridge,False,0.8662261995980859,0.5,0.4,0.1
60,0.207570880651474,0.8578264829620206,0.8708073154371971,0.28904663791022395,0.03802281368821293,0.19011406844106463,0.34600760456273766,2,bridge,False,0.8634262940527307,0.5,0.4,0.1
70,0.18396976590156555,0.8533157917564227,0.8669350015724151,0.27076121641047207,0.03802281368821293,0.19011406844106463,0.34980988593155893,2,bridge,False,0.8608986684786537,0.5,0.4,0.1
80,0.16054904460906982,0.8482846361809481,0.8639497711898199,0.26488497807636563,0.03802281368821293,0.19011406844106463,0.34980988593155893,2,bridge,False,0.8583758620191126,0.5,0.4,0.1
90,0.12993000447750092,0.8405065853200133,0.8556599518163245,0.24399854569431342,0.03802281368821293,0.18631178707224336,0.34220532319391633,2,bridge,False,0.8528965287917998,0.5,0.4,0.1
100,0.11253790557384491,0.8374416284751839,0.8477864307837688,0.2150819422827446,0.03802281368821293,0.17870722433460076,0.34220532319391633,2,bridge,False,0.8474750249389176,0.5,0.4,0.1
110,0.09894870221614838,0.835648917867831,0.8489098039742623,0.20469098777383674,0.03802281368821293,0.18250950570342206,0.34600760456273766,2,bridge,False,0.84303951192008,0.5,0.4,0.1
120,0.07735052704811096,0.8311526840058409,0.8484775585577907,0.2150727003214418,0.03802281368821293,0.17870722433460076,0.34980988593155893,2,bridge,False,0.8386068903699634,0.5,0.4,0.1
130,0.06994323432445526,0.8251818010958667,0.8389382882627019,0.19992631956993007,0.03802281368821293,0.18250950570342206,0.34220532319391633,2,bridge,False,0.8339863233529471,0.5,0.4,0.1
140,0.06795251369476318,0.8217843253480606,0.8314160186631371,0.1829188378771823,0.03802281368821293,0.17870722433460076,0.34220532319391633,2,bridge,False,0.8302418713585566,0.5,0.4,0.1
150,0.061389632523059845,0.8181121600717085,0.8284423136433628,0.1720372653299829,0.03802281368821293,0.17490494296577946,0.34220532319391633,2,bridge,False,0.8263759776778615,0.5,0.4,0.1
160,0.05264723673462868,0.8225071925284448,0.8296233996472838,0.17652026147737418,0.03802281368821293,0.17490494296577946,0.33460076045627374,2,bridge,False,0.8237476326099843,0.5,0.4,0.1
170,0.04879743605852127,0.8156544116584019,0.8239203036343774,0.17470873034728673,0.03802281368821293,0.17490494296577946,0.33460076045627374,2,bridge,False,0.8206479781404965,0.5,0.4,0.1
180,0.04699571058154106,0.8127629429368648,0.8213828690545681,0.16765703843554214,0.03802281368821293,0.17490494296577946,0.33460076045627374,2,bridge,False,0.8181642065086961,0.5,0.4,0.1
190,0.04181414842605591,0.8129508884037648,0.8209744553234899,0.1708049919110255,0.03802281368821293,0.17870722433460076,0.33079847908745247,2,bridge,False,0.8163975191198369,0.5,0.4,0.1
