epoch,loss,auc,ap,mrr,hits@10,hits@50,hits@100,phase,phase_name,phase_changed,competence,easy_ratio,medium_ratio,hard_ratio
10,0.5956469178199768,0.8235192065809829,0.8127413819416711,0.1368601833772105,0.03802281368821293,0.17110266159695817,0.3269961977186312,1,easy_medium,True,0.0,1.0,0.0,0.0
20,0.4116818606853485,0.8631034133788258,0.8469584749636256,0.13304533876603483,0.034220532319391636,0.17870722433460076,0.33840304182509506,1,easy_medium,False,0.8631034133788258,0.7,0.3,0.0
30,0.31904342770576477,0.8730645231245212,0.8752929889584992,0.20320501720744652,0.03802281368821293,0.18250950570342206,0.3574144486692015,1,easy_medium,False,0.8680839682516734,0.7,0.3,0.0
40,0.23828737437725067,0.8605300062166578,0.8614968385384275,0.1794275519489346,0.03802281368821293,0.18250950570342206,0.34220532319391633,1,easy_medium,False,0.8655659809066681,0.7,0.3,0.0
50,0.1786022037267685,0.8530700169150921,0.8504160603576671,0.17339182493872843,0.03802281368821293,0.17870722433460076,0.33840304182509506,1,easy_medium,False,0.8624419899087742,0.7,0.3,0.0
60,0.12402898818254471,0.8452630513669419,0.8423995777572342,0.16791657322645911,0.03802281368821293,0.17110266159695817,0.34220532319391633,1,easy_medium,False,0.8590062022004077,0.7,0.3,0.0
70,0.0935852974653244,0.8349549653746621,0.8327769982304318,0.17421597528232136,0.03802281368821293,0.17490494296577946,0.33460076045627374,1,easy_medium,False,0.8533765125995749,0.7,0.3,0.0
80,0.0649532750248909,0.8359380647399847,0.8370409068900853,0.1908443153045623,0.03802281368821293,0.17870722433460076,0.33460076045627374,1,easy_medium,False,0.8459512209226677,0.7,0.3,0.0
90,0.05197988077998161,0.8323526435252787,0.8340842209298206,0.19560075982093444,0.03802281368821293,0.18250950570342206,0.33840304182509506,1,easy_medium,False,0.8403157483843919,0.7,0.3,0.0
100,0.040219906717538834,0.8245167632899132,0.8273495338860868,0.18983625953926359,0.03802281368821293,0.17870722433460076,0.33079847908745247,1,easy_medium,False,0.8346050976593562,0.7,0.3,0.0
110,0.034211158752441406,0.828246757940696,0.8319344092612659,0.19872748260027165,0.03802281368821293,0.17490494296577946,0.33460076045627374,1,easy_medium,False,0.8312018389741069,0.7,0.3,0.0
120,0.026023564860224724,0.8253552892191589,0.8292451739262074,0.19345278662319407,0.03802281368821293,0.17870722433460076,0.33840304182509506,1,easy_medium,False,0.8292819037430064,0.7,0.3,0.0
130,0.022673064842820168,0.8271335424829042,0.8335800477597194,0.19957895706340578,0.03802281368821293,0.17870722433460076,0.34220532319391633,1,easy_medium,False,0.8275209992915901,0.7,0.3,0.0
140,0.023293446749448776,0.8222903323743296,0.8282833095262861,0.19521333320696282,0.03802281368821293,0.17870722433460076,0.33460076045627374,1,easy_medium,False,0.8255085370614005,0.7,0.3,0.0
150,0.018558254465460777,0.8254275759371973,0.8301161959108407,0.1742940841342445,0.03802281368821293,0.17870722433460076,0.33840304182509506,1,easy_medium,False,0.8256906995908573,0.7,0.3,0.0
160,0.02274938113987446,0.8237649814223134,0.8314663337627577,0.19582842623654642,0.03802281368821293,0.17870722433460076,0.33840304182509506,1,easy_medium,False,0.8247943442871808,0.7,0.3,0.0
170,0.01354861818253994,0.8171001460191705,0.8255200841352042,0.1766585336500562,0.03802281368821293,0.17870722433460076,0.33840304182509506,1,easy_medium,False,0.823143315647183,0.7,0.3,0.0
180,0.011690044775605202,0.8205699084850149,0.8284019808559612,0.19243428099258175,0.03802281368821293,0.17870722433460076,0.33840304182509506,1,easy_medium,False,0.8218305888476051,0.7,0.3,0.0
190,0.008334553800523281,0.8258468389018203,0.8313691493166812,0.18481136611073143,0.03802281368821293,0.17490494296577946,0.33460076045627374,1,easy_medium,False,0.8225418901531032,0.7,0.3,0.0
200,0.01203808095306158,0.8224927351848373,0.8303582499202853,0.19482543834271251,0.03802281368821293,0.17490494296577946,0.33840304182509506,1,easy_medium,False,0.8219549220026312,0.7,0.3,0.0
210,0.008685540407896042,0.8243143604794057,0.8300000204267703,0.1829229121569274,0.03802281368821293,0.17490494296577946,0.33840304182509506,1,easy_medium,False,0.8220647978140498,0.7,0.3,0.0
220,0.009476585313677788,0.8205120791105842,0.8321921866644937,0.19490090277246103,0.03802281368821293,0.17870722433460076,0.33840304182509506,1,easy_medium,False,0.8227471844323325,0.7,0.3,0.0
230,0.01232901494950056,0.820107273489569,0.8303025296420562,0.18619241904823178,0.03802281368821293,0.17490494296577946,0.34600760456273766,1,easy_medium,False,0.8226546574332433,0.7,0.3,0.0
240,0.01010268647223711,0.8155821249403634,0.8249105361025586,0.18639670713898393,0.03802281368821293,0.17490494296577946,0.33840304182509506,1,easy_medium,False,0.8206017146409519,0.7,0.3,0.0
250,0.009525679051876068,0.8165507669620784,0.823277588255702,0.1723723186570621,0.03802281368821293,0.17110266159695817,0.33840304182509506,1,easy_medium,False,0.8194133209964001,0.7,0.3,0.0
260,0.005337856709957123,0.8131099191834492,0.8213076321810672,0.17471843856945063,0.03802281368821293,0.17110266159695817,0.33460076045627374,1,easy_medium,False,0.8171724327372087,0.7,0.3,0.0
270,0.0062968241982162,0.8167820844598013,0.8260763864016412,0.17405197159675626,0.03802281368821293,0.17490494296577946,0.33840304182509506,1,easy_medium,False,0.8164264338070524,0.7,0.3,0.0
280,0.008594196289777756,0.8161893333718863,0.8262740469367865,0.17266156230740706,0.03802281368821293,0.17490494296577946,0.34600760456273766,1,easy_medium,False,0.8156428457835159,0.7,0.3,0.0
290,0.006792319007217884,0.8126328268443956,0.8234780279767036,0.16723373602585836,0.03802281368821293,0.17870722433460076,0.33840304182509506,1,easy_medium,False,0.8150529861643221,0.7,0.3,0.0
300,0.005100856069475412,0.8163339068079631,0.8277535110421161,0.184940432380493,0.03802281368821293,0.17870722433460076,0.34220532319391633,1,easy_medium,False,0.8150096141334991,0.7,0.3,0.0
