epoch,loss,auc,ap,mrr,hits@10,hits@50,hits@100,phase,phase_name,phase_changed,competence,easy_ratio,medium_ratio,hard_ratio
10,0.6180558204650879,0.8711706111119143,0.8657842645041275,0.16431920794165503,0.03802281368821293,0.18250950570342206,0.3574144486692015,1,easy_medium,True,0.0,1.0,0.0,0.0
20,0.479299396276474,0.9050730818719368,0.8926546336928834,0.17004521262567343,0.034220532319391636,0.18250950570342206,0.3650190114068441,2,mixed,True,0.0,0.7,0.3,0.0
30,0.44541382789611816,0.9273663057149879,0.9157331081449738,0.21275742246141827,0.034220532319391636,0.18631178707224336,0.3688212927756654,3,hard_focus,True,0.0,0.3,0.4,0.3
40,0.4364963173866272,0.9334528473738235,0.930166904677353,0.2640594244434072,0.03802281368821293,0.18631178707224336,0.3688212927756654,3,hard_focus,False,0.9334528473738235,0.0,0.3,0.7
50,0.4190276861190796,0.9350142404834536,0.9336705059134012,0.270722515386677,0.03802281368821293,0.18631178707224336,0.3650190114068441,3,hard_focus,False,0.9342335439286386,0.0,0.3,0.7
60,0.4043281376361847,0.929939712877156,0.9306617434258914,0.27733003673832396,0.03802281368821293,0.18250950570342206,0.3650190114068441,3,hard_focus,False,0.9328022669114778,0.0,0.3,0.7
70,0.39442992210388184,0.9251832468302275,0.9310249394011664,0.3098135335782126,0.03802281368821293,0.18631178707224336,0.3688212927756654,3,hard_focus,False,0.9308975118911652,0.0,0.3,0.7
80,0.3789493143558502,0.9259494860414347,0.9323877512887793,0.30408195814334166,0.03802281368821293,0.18631178707224336,0.3726235741444867,3,hard_focus,False,0.929907906721219,0.0,0.3,0.7
90,0.36782073974609375,0.921395422805014,0.9307077262933229,0.32128586977954815,0.03802281368821293,0.18631178707224336,0.3726235741444867,3,hard_focus,False,0.9274964218074571,0.0,0.3,0.7
100,0.3582260310649872,0.9162052364498546,0.9288289193516824,0.3609157086976155,0.03802281368821293,0.19011406844106463,0.3726235741444867,3,hard_focus,False,0.9237346210007373,0.0,0.3,0.7
110,0.3523775339126587,0.9141089216267403,0.9291914530344502,0.39663138061175157,0.03802281368821293,0.19011406844106463,0.3726235741444867,3,hard_focus,False,0.9205684627506543,0.0,0.3,0.7
120,0.33937233686447144,0.9093813702670273,0.9246036945711441,0.35959873711600315,0.03802281368821293,0.19011406844106463,0.3726235741444867,3,hard_focus,False,0.9174080874380142,0.0,0.3,0.7
130,0.3309742510318756,0.9085573016813892,0.9240688317297188,0.3720984439107449,0.03802281368821293,0.19011406844106463,0.3726235741444867,3,hard_focus,False,0.9139296505660051,0.0,0.3,0.7
140,0.32433968782424927,0.9061140106116903,0.924690489729626,0.44423656190363864,0.03802281368821293,0.19011406844106463,0.376425855513308,3,hard_focus,False,0.9108733681273403,0.0,0.3,0.7
150,0.3144494593143463,0.9021816131503997,0.9214603413135244,0.4023318453199781,0.03802281368821293,0.19011406844106463,0.3726235741444867,3,hard_focus,False,0.9080686434674494,0.0,0.3,0.7
160,0.31159117817878723,0.8938975552631959,0.9152163213604206,0.34965012390330114,0.03802281368821293,0.19011406844106463,0.3726235741444867,3,hard_focus,False,0.9040263701947404,0.0,0.3,0.7
170,0.3026472330093384,0.8895025228064596,0.9136312548415254,0.4142869448453894,0.03802281368821293,0.19011406844106463,0.376425855513308,3,hard_focus,False,0.9000506007026269,0.0,0.3,0.7
180,0.2949146032333374,0.885526753314346,0.9102353571291647,0.40096718144560717,0.03802281368821293,0.19011406844106463,0.376425855513308,3,hard_focus,False,0.8954444910292183,0.0,0.3,0.7
190,0.2993661165237427,0.8776041290173343,0.8962393238850275,0.2643024463807396,0.03802281368821293,0.18631178707224336,0.3726235741444867,3,hard_focus,False,0.889742514710347,0.0,0.3,0.7
200,0.2905574142932892,0.8721103384464137,0.8914592735143952,0.2578870767761907,0.03802281368821293,0.18250950570342206,0.3726235741444867,3,hard_focus,False,0.8837282597695498,0.0,0.3,0.7
210,0.2801646888256073,0.8680044528618311,0.8889162284949902,0.26648258724645724,0.03802281368821293,0.18631178707224336,0.376425855513308,3,hard_focus,False,0.8785496392892771,0.0,0.3,0.7
220,0.28540757298469543,0.8625251196345184,0.8798333589950567,0.21872781076134662,0.034220532319391636,0.18631178707224336,0.3688212927756654,3,hard_focus,False,0.8731541586548888,0.0,0.3,0.7
230,0.2750208377838135,0.8628720958811028,0.8788613502054992,0.21805373114518997,0.034220532319391636,0.18631178707224336,0.3688212927756654,3,hard_focus,False,0.8686232271682401,0.0,0.3,0.7
240,0.2667241096496582,0.8549928436149142,0.8692523060797931,0.19496172421790567,0.034220532319391636,0.18631178707224336,0.3650190114068441,3,hard_focus,False,0.8641009700877561,0.0,0.3,0.7
250,0.2620994746685028,0.8529832728534459,0.8687066513765,0.20005525892504003,0.034220532319391636,0.18631178707224336,0.3688212927756654,3,hard_focus,False,0.8602755569691626,0.0,0.3,0.7
260,0.26165249943733215,0.8465931269788488,0.8639541752637611,0.19462960721441727,0.034220532319391636,0.18631178707224336,0.3688212927756654,3,hard_focus,False,0.8559932917925661,0.0,0.3,0.7
270,0.26746028661727905,0.8452919660541571,0.8589279655221829,0.17959820805562746,0.034220532319391636,0.18631178707224336,0.3574144486692015,3,hard_focus,False,0.8525466610764937,0.0,0.3,0.7
280,0.24842718243598938,0.8426173574867355,0.8553580668186502,0.17575590795175197,0.034220532319391636,0.18631178707224336,0.35361216730038025,3,hard_focus,False,0.8484957133976202,0.0,0.3,0.7
290,0.24523213505744934,0.8383379837788605,0.855553944796305,0.18685352376105271,0.034220532319391636,0.18631178707224336,0.3612167300380228,3,hard_focus,False,0.8451647414304096,0.0,0.3,0.7
300,0.2507699429988861,0.8396391447035522,0.8554402851244971,0.1802672510396035,0.034220532319391636,0.18631178707224336,0.3688212927756654,3,hard_focus,False,0.8424959158004308,0.0,0.3,0.7
