epoch,loss,auc,ap,mrr,hits@10,hits@50,hits@100,phase,phase_name,phase_changed,competence,easy_ratio,medium_ratio,hard_ratio
10,0.6163421273231506,0.8085155931611324,0.825862986783023,0.20738722041709381,0.04405286343612335,0.2026431718061674,0.3964757709251101,1,easy_medium,True,0.0,1.0,0.0,0.0
20,0.5444607734680176,0.855712317335869,0.8716410330605042,0.26523551709007326,0.04405286343612335,0.21585903083700442,0.4185022026431718,2,mixed,True,0.0,0.7,0.3,0.0
30,0.47547104954719543,0.878379165130315,0.8898914811574694,0.26863104967140783,0.04405286343612335,0.21585903083700442,0.42731277533039647,2,mixed,False,0.878379165130315,0.3,0.4,0.3
40,0.4353844225406647,0.8953210813328417,0.908098481347571,0.366869326301929,0.04405286343612335,0.22026431718061673,0.42731277533039647,2,mixed,False,0.8868501232315784,0.3,0.4,0.3
50,0.4150736629962921,0.9096043004909856,0.9151872560991205,0.38841633501249034,0.04405286343612335,0.22026431718061673,0.42731277533039647,2,mixed,False,0.8944348489847141,0.3,0.4,0.3
60,0.3949822187423706,0.9124570630130606,0.9141164004983422,0.3573841895741491,0.04405286343612335,0.22026431718061673,0.42290748898678415,2,mixed,False,0.8989404024918008,0.3,0.4,0.3
70,0.3908320963382721,0.9111956374080614,0.9170334154725222,0.3868941708987408,0.04405286343612335,0.22026431718061673,0.4185022026431718,3,hard_focus,True,0.0,0.3,0.4,0.3
80,0.39067602157592773,0.9006966950649149,0.9090215560571286,0.35759227887709155,0.04405286343612335,0.22026431718061673,0.4185022026431718,3,hard_focus,False,0.9006966950649149,0.0,0.3,0.7
90,0.37327316403388977,0.8905858836771527,0.9018417154442961,0.33503894127377987,0.04405286343612335,0.21585903083700442,0.43171806167400884,3,hard_focus,False,0.8956412893710338,0.0,0.3,0.7
100,0.3655303418636322,0.883308428263696,0.8946148115663178,0.30116359761256795,0.04405286343612335,0.21145374449339208,0.42290748898678415,3,hard_focus,False,0.8915303356685879,0.0,0.3,0.7
110,0.33959969878196716,0.88222166158862,0.8910525270864342,0.23636031387594644,0.04405286343612335,0.21145374449339208,0.42290748898678415,3,hard_focus,False,0.8892031671485958,0.0,0.3,0.7
120,0.33604374527931213,0.8766519823788546,0.8832464489675862,0.20675261212857296,0.039647577092511016,0.21145374449339208,0.42290748898678415,3,hard_focus,False,0.8866929301946476,0.0,0.3,0.7
130,0.32354775071144104,0.8586621125967902,0.8646618641292411,0.18081415520041655,0.039647577092511016,0.21145374449339208,0.40969162995594716,3,hard_focus,False,0.8782860137010227,0.0,0.3,0.7
140,0.3079247772693634,0.8540627607754857,0.8569009802946355,0.1609304845342517,0.039647577092511016,0.20704845814977973,0.4052863436123348,3,hard_focus,False,0.8709813891206893,0.0,0.3,0.7
150,0.3126526176929474,0.842748743426032,0.8413231216601397,0.13232750444020067,0.039647577092511016,0.2026431718061674,0.4008810572687225,3,hard_focus,False,0.8628694521531564,0.0,0.3,0.7
160,0.2947041690349579,0.839449630305265,0.8382284620587537,0.13567961265417747,0.039647577092511016,0.2026431718061674,0.3964757709251101,3,hard_focus,False,0.8543150458964857,0.0,0.3,0.7
170,0.28262802958488464,0.8352966290826525,0.8340573803470441,0.13440384070250738,0.039647577092511016,0.2026431718061674,0.3964757709251101,3,hard_focus,False,0.8460439752372452,0.0,0.3,0.7
180,0.2723802924156189,0.8325603058471929,0.8351962556445383,0.14313430141463204,0.039647577092511016,0.2026431718061674,0.3964757709251101,3,hard_focus,False,0.8408236138873256,0.0,0.3,0.7
190,0.2584294378757477,0.8289506879621183,0.8328703252744967,0.142418498634168,0.039647577092511016,0.19823788546255505,0.4008810572687225,3,hard_focus,False,0.8358011993246521,0.0,0.3,0.7
200,0.25118425488471985,0.8281162064080421,0.8306100425903048,0.13636149176377282,0.039647577092511016,0.2026431718061674,0.4008810572687225,3,hard_focus,False,0.8328746919210541,0.0,0.3,0.7
210,0.2483503520488739,0.8193832599118943,0.8220611371114759,0.12696637764369348,0.039647577092511016,0.19383259911894274,0.4008810572687225,3,hard_focus,False,0.8288614178423799,0.0,0.3,0.7
220,0.24795804917812347,0.8122804634283607,0.8145813784792215,0.1216573910937845,0.039647577092511016,0.19823788546255505,0.3964757709251101,3,hard_focus,False,0.8242581847115217,0.0,0.3,0.7
230,0.22796688973903656,0.8148615342816666,0.8094823523474731,0.11490286901703008,0.039647577092511016,0.1894273127753304,0.3876651982378855,3,hard_focus,False,0.8207184303984164,0.0,0.3,0.7
240,0.2147219479084015,0.8178889557336646,0.8115526919798067,0.10907343992569922,0.039647577092511016,0.1894273127753304,0.3964757709251101,3,hard_focus,False,0.8185060839527256,0.0,0.3,0.7
250,0.21226099133491516,0.8200818956315861,0.8070480113986331,0.09849266451481155,0.039647577092511016,0.18502202643171806,0.3876651982378855,3,hard_focus,False,0.8168992217974343,0.0,0.3,0.7
260,0.2112424373626709,0.8135807021288983,0.8049855998419708,0.10789472057701532,0.039647577092511016,0.18502202643171806,0.3832599118942731,3,hard_focus,False,0.8157387102408352,0.0,0.3,0.7
270,0.20601314306259155,0.8116400473519766,0.8022234140465123,0.10815780536721158,0.039647577092511016,0.1894273127753304,0.3744493392070485,3,hard_focus,False,0.8156106270255583,0.0,0.3,0.7
280,0.20296598970890045,0.8082827145879018,0.7920742827643599,0.0951428565136155,0.039647577092511016,0.18061674008810572,0.3788546255506608,3,hard_focus,False,0.8142948630868055,0.0,0.3,0.7
290,0.19556042551994324,0.8072735741039027,0.7976015720912898,0.10759656198365936,0.039647577092511016,0.19823788546255505,0.3744493392070485,3,hard_focus,False,0.8121717867608531,0.0,0.3,0.7
300,0.17873147130012512,0.8052941062314426,0.7932593732146673,0.1035449823238527,0.039647577092511016,0.1894273127753304,0.3656387665198238,3,hard_focus,False,0.8092142288808244,0.0,0.3,0.7
