epoch,loss,auc,ap,mrr,hits@10,hits@50,hits@100,phase,phase_name,phase_changed,competence,easy_ratio,medium_ratio,hard_ratio
10,0.660807728767395,0.8755968652660662,0.8659004050889701,0.06107960890927697,0.004512635379061372,0.02256317689530686,0.04422382671480144,1,easy_medium,True,0.0,1.0,0.0,0.0
20,0.5506858229637146,0.8845545279490153,0.8873738534010328,0.09695623838385384,0.004512635379061372,0.02256317689530686,0.04512635379061372,2,mixed,True,0.0,0.7,0.3,0.0
30,0.504252552986145,0.9137569400096445,0.9154587985689465,0.15426545871941022,0.004512635379061372,0.02256317689530686,0.04512635379061372,3,hard_focus,True,0.0,0.3,0.4,0.3
40,0.4824841320514679,0.9286172763883278,0.9287988419959987,0.15594921729369837,0.004512635379061372,0.02256317689530686,0.04512635379061372,3,hard_focus,False,0.9286172763883278,0.0,0.3,0.7
50,0.46976232528686523,0.9346439661014739,0.9347321997886741,0.16885020791468686,0.004512635379061372,0.02256317689530686,0.04512635379061372,3,hard_focus,False,0.9316306212449008,0.0,0.3,0.7
60,0.46208056807518005,0.942064359629345,0.9413877900368017,0.158377612626914,0.004512635379061372,0.02256317689530686,0.04512635379061372,3,hard_focus,False,0.9351085340397155,0.0,0.3,0.7
70,0.45353418588638306,0.9465672203469353,0.9453160385152631,0.15364744338325648,0.004512635379061372,0.02256317689530686,0.04512635379061372,3,hard_focus,False,0.9379732056165204,0.0,0.3,0.7
80,0.44980403780937195,0.9504807504333433,0.9490895471339648,0.14923110469651357,0.004512635379061372,0.02256317689530686,0.04512635379061372,3,hard_focus,False,0.9404747145798851,0.0,0.3,0.7
90,0.4448252022266388,0.9527898105670608,0.9519458508825808,0.14492637563956767,0.004512635379061372,0.02256317689530686,0.04512635379061372,3,hard_focus,False,0.9453092214156318,0.0,0.3,0.7
100,0.4398238956928253,0.956489519933793,0.956009920102444,0.15943361553708268,0.004512635379061372,0.02256317689530686,0.04512635379061372,3,hard_focus,False,0.9496783321820954,0.0,0.3,0.7
110,0.4381442666053772,0.9593344555187737,0.9590422438313917,0.18762605669669968,0.004512635379061372,0.02256317689530686,0.04512635379061372,3,hard_focus,False,0.9531323513599812,0.0,0.3,0.7
120,0.4336910843849182,0.961064366960341,0.9613471606632304,0.19395566258726657,0.004512635379061372,0.02256317689530686,0.04512635379061372,3,hard_focus,False,0.9560317806826623,0.0,0.3,0.7
130,0.4327187240123749,0.9625418681333003,0.9623747575841997,0.1796565803687392,0.004512635379061372,0.02256317689530686,0.04512635379061372,3,hard_focus,False,0.958444004222654,0.0,0.3,0.7
140,0.4316466152667999,0.9631692792164631,0.9636383782986065,0.19999621333215734,0.004512635379061372,0.02256317689530686,0.04512635379061372,3,hard_focus,False,0.9605198979525342,0.0,0.3,0.7
150,0.4267219007015228,0.9640571443000692,0.9647456387267359,0.2056940643436223,0.004512635379061372,0.02256317689530686,0.04512635379061372,3,hard_focus,False,0.9620334228257894,0.0,0.3,0.7
160,0.4251593053340912,0.9648623320387338,0.9657503004821806,0.21029661608732975,0.004512635379061372,0.02256317689530686,0.04512635379061372,3,hard_focus,False,0.9631389981297815,0.0,0.3,0.7
