epoch,loss,auc,ap,mrr,hits@10,hits@50,hits@100,phase,phase_name,phase_changed,competence,easy_ratio,medium_ratio,hard_ratio
10,0.6229515075683594,0.8252828504337363,0.8386790043707297,0.24382527791659453,0.04405286343612335,0.21585903083700442,0.3964757709251101,1,easy_medium,True,0.0,1.0,0.0,0.0
20,0.5244458913803101,0.8501814512216422,0.8469500508946273,0.19969217908063047,0.04405286343612335,0.21145374449339208,0.3920704845814978,2,mixed,True,0.0,0.7,0.3,0.0
30,0.45908647775650024,0.8940596557278426,0.8902395058687332,0.22757607866680407,0.04405286343612335,0.21585903083700442,0.4185022026431718,2,mixed,False,0.8940596557278426,0.3,0.4,0.3
40,0.42821362614631653,0.9040928409245279,0.9025467773256629,0.22925202449479395,0.039647577092511016,0.21585903083700442,0.42731277533039647,2,mixed,False,0.8990762483261853,0.3,0.4,0.3
50,0.4059225916862488,0.9048302897397581,0.9073402917634061,0.25811516188069106,0.04405286343612335,0.21585903083700442,0.42731277533039647,3,hard_focus,True,0.0,0.3,0.4,0.3
60,0.39166054129600525,0.8892080187855382,0.8931356163713065,0.232533786896092,0.04405286343612335,0.21145374449339208,0.43171806167400884,3,hard_focus,False,0.8892080187855382,0.0,0.3,0.7
70,0.3777826726436615,0.8798928758563139,0.8852417522277722,0.22075707183787133,0.039647577092511016,0.21145374449339208,0.42290748898678415,3,hard_focus,False,0.884550447320926,0.0,0.3,0.7
80,0.355960488319397,0.8701507888761667,0.8789264865303084,0.23211318093347696,0.039647577092511016,0.21585903083700442,0.42290748898678415,3,hard_focus,False,0.8797505611726729,0.0,0.3,0.7
90,0.33928102254867554,0.8655320305070932,0.8773280603596079,0.22864582172619546,0.039647577092511016,0.21585903083700442,0.42731277533039647,3,hard_focus,False,0.876195928506278,0.0,0.3,0.7
100,0.32888028025627136,0.8627957072716335,0.8724577941907159,0.20547695855511713,0.04405286343612335,0.21145374449339208,0.41409691629955947,3,hard_focus,False,0.8735158842593492,0.0,0.3,0.7
110,0.31102579832077026,0.8662306662267849,0.8736520347177019,0.19770462617211715,0.04405286343612335,0.20704845814977973,0.41409691629955947,3,hard_focus,False,0.8689204137475984,0.0,0.3,0.7
120,0.31070613861083984,0.8580411030681752,0.870204779547367,0.21704518676902404,0.04405286343612335,0.20704845814977973,0.41409691629955947,3,hard_focus,False,0.8645500591899706,0.0,0.3,0.7
130,0.3059333562850952,0.8413902850821867,0.8569378401363766,0.1905181654473285,0.04405286343612335,0.2026431718061674,0.4052863436123348,3,hard_focus,False,0.8587979584311748,0.0,0.3,0.7
140,0.28697341680526733,0.8254963224591977,0.8436543320433015,0.1830328860974944,0.04405286343612335,0.2026431718061674,0.4052863436123348,3,hard_focus,False,0.8507908168215955,0.0,0.3,0.7
150,0.278668612241745,0.8112325098488231,0.830101738983262,0.15963747193800584,0.04405286343612335,0.2026431718061674,0.4052863436123348,3,hard_focus,False,0.8404781773370334,0.0,0.3,0.7
160,0.2719210386276245,0.8043237788429816,0.8221661460470233,0.14491761959931784,0.04405286343612335,0.2026431718061674,0.3964757709251101,3,hard_focus,False,0.8280967998602728,0.0,0.3,0.7
170,0.2605384588241577,0.8043819984862892,0.8200258330841792,0.1398020786068857,0.039647577092511016,0.2026431718061674,0.3920704845814978,3,hard_focus,False,0.8173649789438956,0.0,0.3,0.7
180,0.2609269618988037,0.8045566574162122,0.8147410909609747,0.1271575136141493,0.039647577092511016,0.2026431718061674,0.3832599118942731,3,hard_focus,False,0.8099982534107009,0.0,0.3,0.7
190,0.2314416766166687,0.7918065555318363,0.7994573971619418,0.11894667818270761,0.039647577092511016,0.19823788546255505,0.3744493392070485,3,hard_focus,False,0.8032603000252283,0.0,0.3,0.7
200,0.23490577936172485,0.7865473810863786,0.7934104591494631,0.11377408222157463,0.039647577092511016,0.20704845814977973,0.3832599118942731,3,hard_focus,False,0.7983232742727395,0.0,0.3,0.7
210,0.22866345942020416,0.7836169923732267,0.7884934126329213,0.10532339247642987,0.039647577092511016,0.19823788546255505,0.3788546255506608,3,hard_focus,False,0.7941819169787886,0.0,0.3,0.7
220,0.22258789837360382,0.77659182208077,0.7773479906287801,0.09252591925830293,0.039647577092511016,0.19383259911894274,0.3744493392070485,3,hard_focus,False,0.7886238816976847,0.0,0.3,0.7
230,0.2004518210887909,0.7826466649847659,0.7878397521716863,0.1002010517477558,0.039647577092511016,0.19383259911894274,0.3788546255506608,3,hard_focus,False,0.7842418832113955,0.0,0.3,0.7
240,0.21317104995250702,0.7814434590230743,0.785806958138706,0.09736800703678317,0.039647577092511016,0.19383259911894274,0.3920704845814978,3,hard_focus,False,0.7821692639096429,0.0,0.3,0.7
250,0.19708654284477234,0.7726328863358497,0.7776261773154535,0.09598720510394637,0.039647577092511016,0.19823788546255505,0.3744493392070485,3,hard_focus,False,0.7793863649595373,0.0,0.3,0.7
260,0.1925644427537918,0.7802402530613828,0.7816750012498078,0.09659445587328765,0.039647577092511016,0.19823788546255505,0.3788546255506608,3,hard_focus,False,0.7787110170971685,0.0,0.3,0.7
270,0.18184258043766022,0.7817345572396126,0.7840247079491796,0.09817903533988334,0.039647577092511016,0.1894273127753304,0.3744493392070485,3,hard_focus,False,0.7797395641289372,0.0,0.3,0.7
280,0.18399392068386078,0.7876923674047625,0.7840777608672893,0.09158499635011913,0.039647577092511016,0.19383259911894274,0.3700440528634361,3,hard_focus,False,0.7807487046129363,0.0,0.3,0.7
290,0.1823941171169281,0.7811135477109978,0.7820958879029425,0.09324377052463034,0.039647577092511016,0.19383259911894274,0.3700440528634361,3,hard_focus,False,0.780682722350521,0.0,0.3,0.7
300,0.16695468127727509,0.7818121834306895,0.7780981779174312,0.08767436080912448,0.039647577092511016,0.19383259911894274,0.3744493392070485,3,hard_focus,False,0.7825185817694891,0.0,0.3,0.7
