dataset,model,heuristic,metric,baseline_mean,baseline_std,curriculum_mean,curriculum_std,improvement_pct,t_stat,p_value,cohens_d,significant
citeseer,gat,aa,heart_mrr,0.5781297148959259,0.043404688336146205,0.5328075193040541,0.05190109571174579,-7.839450978580234,-2.1033324597155154,0.06476704445746988,-0.8987190971951242,False
citeseer,gat,aa,heart_hits@10,0.8,0.026041869439294294,0.7742857142857142,0.022066853446106805,-3.214285714285725,-2.517374428582767,0.03291012375518936,-1.0107051065489554,True
citeseer,gat,aa,heart_hits@50,0.9384615384615385,0.01480868617839387,0.9452747252747253,0.009899873080927641,0.7259953161592575,1.0953311426732362,0.30181600636011474,0.5131547052891205,False
citeseer,gat,cn,heart_mrr,0.5781297148959259,0.043404688336146205,0.5296773793625803,0.04925817193707181,-8.380876174487577,-2.2933888234005595,0.047510532662291986,-0.9901374399398571,True
citeseer,gat,cn,heart_hits@10,0.8,0.026041869439294294,0.778021978021978,0.024845859799670477,-2.7472527472527513,-1.9653653462412553,0.08094321219895748,-0.8192319205190415,False
citeseer,gat,cn,heart_hits@50,0.9384615384615385,0.01480868617839387,0.9441758241758242,0.007562483751246238,0.6088992974238949,0.8968479971456312,0.39315746105963306,0.46106248638574626,False
citeseer,gat,ra,heart_mrr,0.5781297148959259,0.043404688336146205,0.5434647075881455,0.05671573572006629,-5.996060471311492,-1.5947095765524064,0.14524150249985646,-0.6512011252106579,False
citeseer,gat,ra,heart_hits@10,0.8,0.026041869439294294,0.7782417582417582,0.025525748192650317,-2.7197802197802265,-2.024158518088336,0.07362591700422375,-0.8005274515350012,False
citeseer,gat,ra,heart_hits@50,0.9384615384615385,0.01480868617839387,0.947032967032967,0.011975501297428807,0.9133489461358305,1.5272277511395416,0.16105118800033602,0.6038232167013505,False
citeseer,gat,,heart_mrr,0.5781297148959259,0.043404688336146205,0.5781297148959259,0.043404688336146205,0.0,,,0.0,False
citeseer,gat,,heart_hits@10,0.8,0.026041869439294294,0.8,0.026041869439294294,0.0,,,0.0,False
