dataset,model,heuristic,condition,metric,mean,std,n_seeds
cora,gcn,cn,abl-3,mrr,0.17553971460360515,0.029739873396814977,10
cora,gcn,cn,abl-4,ap,0.8811730837770735,0.01844139240938708,10
cora,gcn,cn,abl-4,auc,0.8805162586550198,0.017738762514942066,10
cora,gcn,cn,abl-4,heart_hits@10,0.6415559772296016,0.03612745759010038,10
cora,gcn,cn,abl-4,heart_hits@100,0.9998102466793168,0.000569259962049351,10
cora,gcn,cn,abl-4,heart_hits@50,0.9476280834914611,0.01560598496770556,10
cora,gcn,cn,abl-4,heart_mrr,0.34190838307416815,0.026439460242399886,10
cora,gcn,cn,abl-4,hits@10,0.018975332068311195,0.0,10
cora,gcn,cn,abl-4,hits@100,0.18349146110056927,0.0031808452778444413,10
cora,gcn,cn,abl-4,hits@50,0.09354838709677418,0.0012150140867994048,10
cora,gcn,cn,abl-4,mrr,0.1753745438538613,0.03869171981391011,10
cora,gcn,cn,abl-5,ap,0.8801946897069015,0.033123897155621265,13
cora,gcn,cn,abl-5,auc,0.8768024280448263,0.03504379798435903,13
cora,gcn,cn,abl-5,heart_hits@10,0.6776091081593928,0.03166607145129075,10
cora,gcn,cn,abl-5,heart_hits@100,0.9994307400379506,0.001215014086799405,10
cora,gcn,cn,abl-5,heart_hits@50,0.9518026565464895,0.010154905624485504,10
cora,gcn,cn,abl-5,heart_mrr,0.38114693508952435,0.027500667147165626,10
cora,gcn,cn,abl-5,hits@10,0.018975332068311198,3.469446951953614e-18,13
cora,gcn,cn,abl-5,hits@100,0.18479054152678442,0.0021748160014233493,13
cora,gcn,cn,abl-5,hits@50,0.09356298350605753,0.0013692645627859986,13
cora,gcn,cn,abl-5,mrr,0.17634057643148673,0.03910062659570974,13
cora,gcn,cn,abl-6,ap,0.8957412632571758,0.013368694406683309,10
cora,gcn,cn,abl-6,auc,0.8910718722207619,0.014754891733850684,10
cora,gcn,cn,abl-6,heart_hits@10,0.6800759013282732,0.029703517160302836,10
cora,gcn,cn,abl-6,heart_hits@100,0.9990512333965844,0.000948766603415585,10
cora,gcn,cn,abl-6,heart_hits@50,0.9497153700189754,0.012848696028258215,10
cora,gcn,cn,abl-6,heart_mrr,0.38155388231152554,0.025038918912223578,10
cora,gcn,cn,abl-6,hits@10,0.018975332068311195,0.0,10
cora,gcn,cn,abl-6,hits@100,0.18576850094876662,0.00333555898126128,10
cora,gcn,cn,abl-6,hits@50,0.09411764705882354,0.0009295976253446641,10
cora,gcn,cn,abl-6,mrr,0.19802587791184234,0.028181042437909427,10
